question,imageURL,options,method,answer,category
Find the quotient sustained in dividing: (x<sup>3</sup> + 2x<sup>2</sup> - x - 2) by (x + 1),,x<sup>3</sup> + x - 2|x<sup>2</sup> + x - 2|x<sup>2</sup> + x - 1|x<sup>2</sup> + x + 2,,x<sup>2</sup> + x - 2,Algebra
Find the quotient sustained in dividing: (x<sup>3</sup> + 2x<sup>2</sup> - 9x + 2) by (x - 2),,x<sup>2</sup> + 3x - 1|x<sup>2</sup> + 4x - 1|x<sup>2</sup> + 4x + 1|x<sup>2</sup> + 2x - 1,,x<sup>2</sup> + 4x - 1,Algebra
Find the quotient sustained in dividing: (20 + x + 3x<sup>2</sup> + x<sup>3</sup>) by (x + 4),,x<sup>2</sup> - x + 4|x<sup>2</sup> - x + 2|x<sup>3</sup> - x + 5|x<sup>2</sup> - x + 5,,x<sup>2</sup> - x + 5,Algebra
Find the quotient sustained in dividing: (2x<sup>3</sup> - x<sup>2</sup> - 4x + 3) by (x - 1),,2x<sup>2</sup> + x - 2|2x<sup>2</sup> + x - 1|2x<sup>2</sup> - x - 3|2x<sup>2</sup> + x - 3,,2x<sup>2</sup> + x - 3,Algebra
Find the quotient sustained in dividing: (6x<sup>3</sup> - 19x<sup>2</sup> - 73x + 90) by (x - 5),,6x<sup>2</sup> + 11x - 18|6x<sup>2</sup> + 7x - 18|6x<sup>2</sup> + 11x - 17|6x<sup>2</sup> + 10x - 18,,6x<sup>2</sup> + 11x - 18,Algebra
Find the quotient sustained in dividing: (-x<sup>3</sup> + 5x<sup>2</sup> + 10x - 8) by (x + 2),,x<sup>2</sup> + 7x - 4|-x<sup>3</sup> + 7x - 4|-x<sup>2</sup> + 6x - 4|-x<sup>2</sup> + 7x - 4,,-x<sup>2</sup> + 7x - 4,Algebra
Find the quotient sustained in dividing: (x<sup>3</sup> - 2x + 21) by (x + 3),,x<sup>2</sup> - 3x + 6|-x<sup>2</sup> - 3x + 7|x<sup>3</sup> - 3x + 7|x<sup>2</sup> - 3x + 7,,x<sup>2</sup> - 3x + 7,Algebra
Find the quotient sustained in dividing: (3x<sup>3</sup> + 16x<sup>2</sup> + 72) by (x + 6),,3x<sup>2</sup> - 2x + 11|3x<sup>3</sup> - 2x + 12|2x<sup>2</sup> - 2x + 12|3x<sup>2</sup> - 2x + 12,,3x<sup>2</sup> - 2x + 12,Algebra
Use the factor theorem to determine whether or not: (x - 1) is a factor of (x<sup>3</sup> + 2x<sup>2</sup> - 2x - 1),,(x - 1) is a factor|(x - 1) is NOT a factor,,(x - 1) is a factor,Algebra
Use the factor theorem to determine whether or not: (x + 2) is a factor of (x<sup>3</sup> - 5x<sup>2</sup> - 9x + 2),,(x + 2) is a factor|(x + 2) is NOT a factor,,(x + 2) is a factor,Algebra
