question,imageURL,options,method,answer,category
"Find the binomial expansion of (1 + x)<sup>-1</sup> of the following in ascending powers of x up to and including the term in x<sup>3</sup>, for |x| < 1",,1 - x + x<sup>2</sup> - x<sup>3</sup> + …|2 + x + x<sup>2</sup> - x<sup>3</sup> + …|2 + x + x<sup>2</sup> - 3x<sup>3</sup> + …|2 - x + 2x<sup>2</sup> - x<sup>3</sup> + …,,1 - x + x<sup>2</sup> - x<sup>3</sup> + …,Sequences and Series
"Find the binomial expansion of (1 + x)<sup>1/2</sup> of the following in ascending powers of x up to and including the term in x<sup>3</sup>, for |x| < 1",,1 - 1/2 x - 1/8 x<sup>2</sup> + 1/16 x<sup>3</sup> + …|1 + 1/3 x - 1/8 x<sup>2</sup> + 1/16 x<sup>3</sup> + …|2 + 1/2 x - 1/8 x<sup>2</sup> + 1/3 x<sup>3</sup> + …|3 + 1/3 x - 1/8 x<sup>2</sup> + 1/16 x<sup>3</sup> + …,,1 - 1/2 x - 1/8 x<sup>2</sup> + 1/16 x<sup>3</sup> + …,Sequences and Series
"Find the binomial expansion of 2(1 + x)<sup>-3</sup> of the following in ascending powers of x up to and including the term in x<sup>3</sup>, for |x| < 1",,2 - 6x + 12x<sup>2</sup> - 20x<sup>3</sup> + …|3 - 4x + 12x<sup>2</sup> - 20x<sup>3</sup> + …|5 - 7x + 12x<sup>2</sup> - 20x<sup>3</sup> + …|8 - 9x + 12x<sup>2</sup> - 20x<sup>3</sup> + …,,2 - 6x + 12x<sup>2</sup> - 20x<sup>3</sup> + …,Sequences and Series
"Find the binomial expansion of (1 + x)<sup>2/3</sup> of the following in ascending powers of x up to and including the term in x<sup>3</sup>, for |x| < 1",,1 + 2/3x + 1/9x<sup>2</sup> + 4/81 x<sup>3</sup> + …|1 + 4/3x + 1/8x<sup>2</sup> + 4/81 x<sup>3</sup> + …|3 + 4/3x + 1/9x<sup>2</sup> + 4/81 x<sup>3</sup> + …|5 + 4/3x + 1/9x<sup>2</sup> + 4/7 x<sup>3</sup> + …,,1 + 2/3x + 1/9x<sup>2</sup> + 4/81 x<sup>3</sup> + …,Sequences and Series
"Find the binomial expansion of <sup>3</sup>√ 1 - x of the following in ascending powers of x up to and including the term in x<sup>3</sup>, for |x| < 1",,1 - 1/3 x - 1/9 x<sup>2</sup> - 5/81 x<sup>3</sup> + …|3 - 2/3 x - 1/9 x<sup>2</sup> - 5/81 x<sup>3</sup> + …|3 + 5/3 x - 1/9 x<sup>2</sup> - 5/81 x<sup>3</sup> + …|5 - 1/4 x - 1/6 x<sup>2</sup> - 5/81 x<sup>3</sup> + …,,1 - 1/3 x - 1/9 x<sup>2</sup> - 5/81 x<sup>3</sup> + …,Sequences and Series
"Find the binomial expansion of 1/(1 + x)<sup>2</sup> of the following in ascending powers of x up to and including the term in x<sup>3</sup>, for |x| < 6",,1 - 2x + 3x<sup>2</sup> - 4x<sup>3</sup> + …,,1 - 2x + 3x<sup>2</sup> - 4x<sup>3</sup> + …,Sequences and Series
"Find the binomial expansion of 1 / 4(1 + x)<sup>4</sup> of the following in ascending powers of x up to and including the term in x<sup>3</sup>, for |x| < 1",,1/4 + x + 5/2 x<sup>2</sup> + 5x<sup>3</sup> + …|1/3 + 3x + 5/2 x<sup>2</sup> + 5x<sup>3</sup> + …|3/2 + x + 1/2 x<sup>2</sup> + 5x<sup>3</sup> + …|5/3 + x - 1/2 x<sup>2</sup> + 5x<sup>3</sup> + …,,1/4 + x + 5/2 x<sup>2</sup> + 5x<sup>3</sup> + …,Sequences and Series
"Find the binomial expansion of 3 / √(1 - x) of the following in ascending powers of x up to and including the term in x<sup>3</sup>, for |x| < 8",,3 + 3/2 x + 9/8 x<sup>2</sup> + 15/16 x<sup>3</sup> + …|2 + 1/2 x + 9/8 x<sup>2</sup> + 15/16 x<sup>3</sup> + …|2 + 1/2 x + 9/8 x<sup>2</sup> + 15/16 x<sup>3</sup> + …|5 + 3/2 x + 7/8 x<sup>2</sup> + 15/16 x<sup>3</sup> + …,,3 + 3/2 x + 9/8 x<sup>2</sup> + 15/16 x<sup>3</sup> + …,Sequences and Series
Find the values of the constants A and B in each identity: x - 8 ≡ A(x - 2) + B(x + 4),,A = 2; B = -1|A = -2; B = -1|A = 3; B = 2|A = 1; B = -4,,A = 2; B = -1,Partial Fractions
Find the values of the constants A and B in each identity: 6x + 7 ≡ A(2x - 1) + B(x + 2,,A = 1; B = 4|A = 1; B = 3|A = 3; B = -2|A = -2; B = 2,,A = 1; B = 4,Partial Fractions
Find the values of the constants A and B in each identity: 2 / (x + 1)(x + 3) ≡ A / (x + 1) + B / (x + 3),,A = 1; B = -1|A = 3; B = -2|A = 2; B = -2|A = 1; B = -5,,A = 1; B = -1,Partial Fractions
Find the values of the constants A and B in each identity: x - 3 / x(x + 1) ≡ A / x + B / (x - 1),,A = 3; B = -2|A = 2; B = -3|A = 5; B = 2|A = -3; B = -1,,A = 3; B = -2,Partial Fractions
Find the values of the constants A and B in each identity: x + 1 / (x - 3)(x - 5) ≡ A / (x - 3) + B / (x - 5),,A = -2; B = 3|A = 2; B = -3|A = -1; B = 1|A = -4; B = 1,,A = -2; B = 3,Partial Fractions
Find the values of the constants A and B in each identity: x + 10 / (1 + x)(2 - x) ≡ A / (1 + x) + B / (2 - x),,A = 3; B = 4|A = 2; B = 1|A = 2; B = -4|A = 2; B = 2,,A = 3; B = 4,Partial Fractions
Find the values of the constants A and B in each identity: 4x - 1 / (x<sup>2</sup> + x - 2) ≡ A / (x + 2) + B / (x - 1),,A = 3; B = 1|A = 2; B = -1|A = 2; B = 3|A = -3; B = -2,,A = 3; B = 1,Partial Fractions
Find the values of the constants A and B in each identity: x - 9 / (x<sup>2</sup> - 4x + 3) ≡ A / (x - 1) + B / (x - 3),,A = 4; B = -3|A = -1; B = 3|A = 2; B = -2|A = 2; B = 2,,A = 4; B = -3,Partial Fractions
"Given that vectors p and q are not parallel, state whether or not the following pairs of vectors are parallel: 2p and 3p",,parallel|Not parallel,,parallel,Vectors
